client_id,bank_district_id,frequency,lor,client_district_id,age,age_group,Gender,region,nb_inhabitants,nb_cities,urban_inhabitants_ratio,avg_salary,unemployment_rate_96,nb_entrepreneurs_per_1000,nb_crimes_96,unemployment_growth,crime_growth_rate,population_per_city,total_credit,avg_credit_amount,total_withdrawal,avg_withdrawal_amount,debit_count,credit_count,trans_count,avg_trans_amount,max_trans_amount,min_trans_amount,std_trans_amount,net_Flow,last_balance,avg_balance,max_balance,min_balance,std_balance,balance_range,first_balance,balance_growth_pct,median_balance,neg_balance_count,days_since_first_trans,transaction_span_days,avg_days_between_transactions,trans_freq_per_month,credits_per_month,debits_per_month,transaction_activity_ratio,cash_withdrawal_count,card_withdrawal_count,cash_deposit_count,transfer_in_count,transfer_out_count,total_cash_withdrawal,total_card_withdrawal,total_cash_deposit,card_withdrawal_ratio,cash_deposit_ratio,card_type,orders_count,total_order_amount,avg_order_amount,max_order_amount,min_order_amount,insurance_order_count,household_order_count,leasing_order_count,loan_order_count,loans_1996_count,good_loan_count,bad_loan_count,total_loan_amount,loan_duration,monthly_payments,target_loan_1997,target_card_1997
692,55,POPLATEK MESICNE,3,74,60,60,F,north Moravia,323870,1,100.0,10673,5.44,100,18347,14.53,-2.32,323870.0,76097.3,3170.7208333333333,70419.2,1853.136842105263,38,24.0,62,2363.1693548387098,7550.0,14.6,2469.018419985118,5678.100000000006,38501.6,33263.84516129032,42772.1,24868.4,4116.5654234009335,17903.699999999997,30583.4,25.89,33379.7,0.0,363,363,5.950819672131147,5.166666666666667,2.0,3.1666666666666665,146516.5,26,0.0,0.0,12.0,12.0,26475.2,0.0,0.0,0.0,0.0,None,1.0,3662.0,3662.0,3662.0,3662.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4601,74,POPLATEK MESICNE,3,1,61,60,M,Prague,1204953,1,100.0,12541,0.43,167,99107,48.28,15.68,1204953.0,234806.4,9392.256,223535.2,3062.1260273972603,73,25.0,98,4676.955102040817,26049.0,14.6,6125.48021668291,11271.199999999983,49023.8,47088.32653061225,75835.2,19143.7,10816.959215214729,56691.5,35712.7,37.27,46220.3,0.0,362,362,3.731958762886598,8.166666666666666,2.0833333333333335,6.083333333333333,458341.6000000001,37,0.0,13.0,0.0,36.0,113915.2,0.0,232658.0,0.0,0.52,None,3.0,9135.0,3045.0,4065.0,1474.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
844,55,POPLATEK MESICNE,3,22,51,50,M,west Bohemia,58400,6,52.4,8620,1.25,100,1117,13.64,2.57,9733.33,228514.9,9521.454166666666,218531.2,3642.186666666667,60,24.0,84,5321.97738095238,26216.0,14.6,7068.973118713684,9983.699999999983,40768.7,26333.983333333334,47342.6,14747.3,7508.010414230978,32595.3,27305.2,49.31,24249.8,0.0,364,364,4.385542168674699,7.0,2.0,5.0,447046.1,36,0.0,12.0,0.0,24.0,178475.2,0.0,227202.0,0.0,0.5,None,2.0,3338.0,1669.0,2141.0,1197.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2873,16,POPLATEK MESICNE,3,16,21,20,F,south Bohemia,93931,8,56.9,8427,1.54,107,1913,37.5,2.08,11741.38,664545.4,19545.45294117647,633310.2,12924.697959183672,49,34.0,83,15636.814457831326,53700.0,14.6,15800.7413085445,31235.20000000007,91481.6,71777.08795180723,134258.3,27006.5,23841.298433443928,107251.79999999999,52431.8,74.48,70062.8,0.0,362,362,4.414634146341464,6.916666666666667,2.8333333333333335,4.083333333333333,1297855.6,37,0.0,22.0,0.0,12.0,517966.2,0.0,661494.0,0.0,0.6470588235294118,None,1.0,9612.0,9612.0,9612.0,9612.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3177,24,POPLATEK MESICNE,3,24,58,50,M,west Bohemia,122603,8,80.0,8991,2.01,128,5273,44.6,1.44,15325.38,186658.9,7777.454166666666,191071.2,2582.0432432432435,74,24.0,98,3854.3887755102037,21396.0,14.6,5274.2442688602005,-4412.3000000000175,26687.9,25321.78469387755,44605.2,14122.0,6877.911944879484,30483.199999999997,30200.3,-11.63,24111.550000000003,0.0,362,362,3.731958762886598,8.166666666666666,2.0,6.166666666666667,377730.1,38,0.0,12.0,0.0,36.0,138475.2,0.0,185432.0,0.0,0.5,None,3.0,4383.0,1461.0,2300.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2397,77,POPLATEK MESICNE,3,46,78,70,M,east Bohemia,112709,10,73.5,8369,2.31,117,2618,29.05,-8.27,11270.9,64589.5,2691.2291666666665,60917.2,1646.4108108108107,37,24.0,61,2057.4868852459017,5298.0,14.6,2019.8398693523047,3672.300000000003,26884.6,21119.316393442623,30111.1,15138.8,3472.7734176102144,14972.3,21277.8,26.35,20436.8,0.0,363,363,6.05,5.083333333333333,2.0,3.0833333333333335,125506.7,25,0.0,0.0,12.0,12.0,28085.2,0.0,0.0,0.0,0.0,None,1.0,2736.0,2736.0,2736.0,2736.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1866,1,POPLATEK PO OBRATU,3,64,54,50,F,south Moravia,197099,10,74.7,9624,2.31,145,4265,44.38,-4.88,19709.9,403412.0,14407.57142857143,405665.0,7512.314814814815,54,28.0,82,9866.792682926829,48277.0,46.0,12286.105239496985,-2253.0,10106.6,34781.05731707317,95986.2,983.6,21739.540099466318,95002.59999999999,9559.5,5.72,29019.9,0.0,364,364,4.493827160493828,6.833333333333333,2.3333333333333335,4.5,809077.0,54,0.0,16.0,0.0,0.0,405665.0,0.0,401853.0,0.0,0.5714285714285714,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
950,47,POPLATEK MESICNE,3,76,31,30,F,north Moravia,127369,7,51.2,8369,5.88,107,2807,24.31,-24.87,18195.57,42023.3,1750.9708333333335,36249.2,575.384126984127,63,24.0,87,899.683908045977,3401.0,14.6,1086.9504186156494,5774.100000000006,27974.7,25087.48390804598,30321.0,19554.6,2807.510381056152,10766.400000000001,21630.6,29.33,25594.7,0.0,362,362,4.209302325581396,7.25,2.0,5.25,78272.5,27,0.0,0.0,12.0,36.0,9045.2,0.0,0.0,0.0,0.0,None,3.0,2267.0,755.6666666666666,1212.0,204.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2999,74,POPLATEK MESICNE,3,74,17,10,F,north Moravia,323870,1,100.0,10673,5.44,100,18347,14.53,-2.32,323870.0,193219.8,8050.825,195715.2,2358.014457831325,83,24.0,107,3634.9065420560746,22168.0,14.6,5343.998138014996,-2495.4000000000233,22636.9,22528.228037383178,42514.3,12556.3,5856.696691738253,29958.000000000004,24580.0,-7.91,21843.3,0.0,361,361,3.4056603773584904,8.916666666666666,2.0,6.916666666666667,388935.0,35,0.0,12.0,0.0,48.0,137275.2,0.0,192126.0,0.0,0.5,None,4.0,4870.0,1217.5,2343.0,538.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2058,76,POPLATEK MESICNE,3,76,25,20,M,north Moravia,127369,7,51.2,8369,5.88,107,2807,24.31,-24.87,18195.57,432463.5,12012.875,403130.2,9162.050000000001,44,36.0,80,10444.92125,49123.0,14.6,10801.389588647624,29333.29999999999,89630.9,55031.759999999995,123164.7,15857.1,23924.443887549533,107307.59999999999,53997.5,65.99,48368.399999999994,0.0,364,364,4.6075949367088604,6.666666666666667,3.0,3.6666666666666665,835593.7,32,0.0,24.0,0.0,12.0,227234.19999999998,0.0,429892.0,0.0,0.6666666666666666,None,1.0,14658.0,14658.0,14658.0,14658.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2093,48,POPLATEK MESICNE,3,48,26,20,M,east Bohemia,78955,9,59.0,9060,2.44,124,1717,37.08,3.75,8772.78,186412.5,7169.711538461538,187063.2,2253.773493975904,83,26.0,109,3426.3825688073393,20950.0,14.6,4921.662724795127,-650.7000000000116,29250.9,21767.760550458715,43606.9,8677.9,6238.756672384782,34929.0,18381.8,59.13,21766.8,0.0,362,362,3.3518518518518516,9.083333333333334,2.1666666666666665,6.916666666666667,373475.7,35,0.0,14.0,0.0,48.0,106555.2,0.0,185270.0,0.0,0.5384615384615384,None,4.0,6709.0,1677.25,4438.0,74.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3483,70,POPLATEK MESICNE,3,70,56,50,M,north Moravia,285387,7,89.9,10177,7.75,81,10108,16.89,2.33,40769.57,128650.1,4150.003225806452,123483.2,3011.7853658536583,41,31.0,72,3501.851388888889,20000.0,14.6,3927.6368870988376,5166.900000000009,47522.2,36537.98888888889,49650.1,13021.7,7886.487070854047,36628.399999999994,35620.7,33.41,38134.1,0.0,362,362,5.098591549295775,6.0,2.5833333333333335,3.4166666666666665,252133.3,29,0.0,19.0,0.0,12.0,67815.2,0.0,126766.0,0.0,0.6129032258064516,None,1.0,4639.0,4639.0,4639.0,4639.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2849,19,POPLATEK MESICNE,3,19,68,60,M,south Bohemia,51428,4,52.7,8402,3.98,120,1099,27.16,10.01,12857.0,78441.7,3268.4041666666667,77873.2,2163.144444444444,36,24.0,60,2605.2483333333334,14550.0,14.6,2950.7761479112437,568.5,28497.1,23716.501666666667,32640.9,11842.0,4708.533246103099,20798.9,25593.9,11.34,23804.95,0.0,361,361,6.11864406779661,5.0,2.0,3.0,156314.9,24,0.0,0.0,12.0,12.0,31445.2,0.0,0.0,0.0,0.0,None,1.0,3869.0,3869.0,3869.0,3869.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2636,62,POPLATEK MESICNE,3,28,78,70,M,west Bohemia,72541,8,36.9,8594,2.01,112,1525,24.07,-3.48,9067.62,62537.9,2605.7458333333334,71721.2,1707.647619047619,42,24.0,66,2034.228787878788,5700.0,14.6,1973.009733904419,-9183.299999999996,15807.7,21921.14696969697,29245.3,14921.4,3770.9456763000544,14323.9,23696.4,-33.29,22240.35,0.0,362,362,5.569230769230769,5.5,2.0,3.5,134259.1,30,0.0,0.0,12.0,12.0,33705.2,0.0,0.0,0.0,0.0,None,1.0,3168.0,3168.0,3168.0,3168.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
583,6,POPLATEK PO OBRATU,3,75,31,30,F,north Moravia,138032,5,64.6,8819,5.66,99,4505,5.2,10.88,27606.4,619818.3,17709.094285714287,631761.0,7432.482352941176,85,35.0,120,10429.827500000001,45884.0,100.0,11914.762945158474,-11942.699999999953,55221.5,64308.596666666665,136472.2,22126.2,22303.980881425196,114346.00000000001,58364.0,-5.38,59699.95,0.0,363,363,3.0504201680672267,10.0,2.9166666666666665,7.083333333333333,1251579.3,49,0.0,23.0,0.0,36.0,480753.0,0.0,616901.0,0.0,0.6571428571428571,None,4.0,15213.6,3803.4,7421.0,1591.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
782,21,POPLATEK MESICNE,3,5,33,30,F,central Bohemia,95616,6,51.4,9307,4.43,118,3040,15.06,16.21,15936.0,190880.6,7341.5615384615385,185127.2,4407.7904761904765,42,26.0,68,5529.5264705882355,23040.0,14.6,5944.997632592266,5753.399999999994,54654.9,54897.49117647059,74038.0,42481.4,6798.099927113861,31556.6,47101.4,16.04,52932.75,0.0,363,363,5.417910447761194,5.666666666666667,2.1666666666666665,3.5,376007.8,30,0.0,14.0,0.0,12.0,94035.2,0.0,188262.0,0.0,0.5384615384615384,None,1.0,7591.0,7591.0,7591.0,7591.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11860,70,POPLATEK MESICNE,3,70,71,70,F,north Moravia,285387,7,89.9,10177,7.75,81,10108,16.89,2.33,40769.57,54339.5,1509.4305555555557,50285.2,1478.9764705882353,34,36.0,70,1494.6385714285714,4470.0,1.4,1772.6323939674742,4054.300000000003,13855.0,9009.32142857143,14768.1,2621.6,3317.5805847772094,12146.5,8680.7,59.61,8408.900000000001,0.0,365,365,5.2898550724637685,5.833333333333333,3.0,2.8333333333333335,104624.7,34,0.0,0.0,12.0,0.0,50285.2,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2236,44,POPLATEK MESICNE,3,44,18,10,F,east Bohemia,105606,7,53.0,8254,3.76,97,2325,34.77,7.34,15086.57,40526.8,1688.6166666666668,39247.2,1308.24,30,24.0,54,1477.2962962962963,6840.0,14.6,1510.713116124735,1279.6000000000058,33490.3,33198.92777777778,37947.0,28946.0,2099.9846874928407,9001.0,35452.7,-5.54,33493.45,0.0,359,359,6.773584905660377,4.5,2.0,2.5,79774.0,18,0.0,0.0,12.0,12.0,13315.2,0.0,0.0,0.0,0.0,None,1.0,2161.0,2161.0,2161.0,2161.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2338,37,POPLATEK MESICNE,3,58,39,30,F,south Moravia,109164,4,63.6,8757,3.95,96,2471,16.86,11.71,27291.0,71184.8,2296.283870967742,82063.2,1492.0581818181818,55,31.0,86,1781.953488372093,6760.5,14.6,1757.5175250869297,-10878.399999999994,16230.8,19682.11046511628,25294.7,12337.8,2866.774927870282,12956.900000000001,25294.7,-35.83,19837.949999999997,0.0,363,363,4.270588235294118,7.166666666666667,2.5833333333333335,4.583333333333333,153248.0,31,0.0,19.0,0.0,24.0,46015.2,0.0,70191.0,0.0,0.6129032258064516,None,2.0,3004.0,1502.0,2643.0,361.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2889,10,POPLATEK MESICNE,3,25,53,50,M,west Bohemia,88757,10,61.7,8554,2.68,113,2218,8.5,21.73,8875.7,147078.3,5883.132,150339.2,3198.7063829787235,47,25.0,72,4130.798611111111,16105.5,14.6,4352.261030984818,-3260.9000000000233,31942.7,30924.225000000002,42472.5,18777.2,5076.2476003927295,23695.3,32069.2,-0.39,31400.8,0.0,365,365,5.140845070422535,6.0,2.0833333333333335,3.9166666666666665,297417.5,35,0.0,13.0,0.0,12.0,98835.2,0.0,145481.0,0.0,0.52,None,2.0,5545.0,2772.5,4292.0,1253.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4238,41,POPLATEK MESICNE,3,41,25,20,F,north Bohemia,118650,3,85.6,9832,4.48,114,5471,34.94,-15.11,39550.0,203576.7,8851.160869565218,193828.2,6922.435714285714,28,23.0,51,7792.252941176471,46318.0,14.6,10988.128077053943,9748.5,53577.2,49081.952941176474,89639.7,25228.7,15693.596283903229,64411.0,37828.7,41.63,49707.8,0.0,360,360,7.2,4.25,1.9166666666666667,2.3333333333333335,397404.9,28,0.0,11.0,0.0,0.0,193828.2,0.0,201217.0,0.0,0.4782608695652174,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1540,36,POPLATEK MESICNE,3,36,59,50,M,north Bohemia,159617,9,85.2,9198,4.28,131,6132,28.53,5.8,17735.22,97711.8,3369.3724137931035,90727.2,1417.6125,64,29.0,93,2026.225806451613,10161.0,14.6,2547.804896457683,6984.600000000006,37988.3,33280.32580645162,47373.6,23396.2,5043.955603123737,23977.399999999998,25900.0,46.67,33284.4,0.0,361,361,3.9239130434782608,7.75,2.4166666666666665,5.333333333333333,188439.0,28,0.0,17.0,0.0,36.0,36535.2,0.0,96062.0,0.0,0.5862068965517241,None,3.0,4516.0,1505.3333333333333,3839.0,169.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1984,1,POPLATEK MESICNE,3,1,70,70,M,Prague,1204953,1,100.0,12541,0.43,167,99107,48.28,15.68,1204953.0,69625.8,2901.0750000000003,70101.2,1348.1,52,24.0,76,1838.5131578947369,5718.0,14.6,1999.7298769145207,-475.3999999999942,27907.8,19773.288157894734,29409.8,11905.7,4193.6602578325965,17504.1,24913.3,12.02,19131.699999999997,0.0,361,361,4.8133333333333335,6.333333333333333,2.0,4.333333333333333,139727.0,28,0.0,0.0,12.0,24.0,29985.2,0.0,0.0,0.0,0.0,None,2.0,3343.0,1671.5,2569.0,774.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
